"Violation ID","Primary Building Identifier","Primary Boro Identifier","Primary Borough Name","Primary House Number","Primary Low House Number","Primary High House Number","Primary Street Name","Primary Postcode","Development Name","TDS Number","Stairhall Number","NYCHA Address Section BoroID","NYCHA Address Section Borough","NYCHA Address Section House Number","NYCHA Address Section Street Name","NYCHA Address Section PostCode","Apartment","Story","Block","Lot","Violation Description","Class","Inspection Date","Approved Date","Order Number","Issued in Error","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"18223816","286990","3","BROOKLYN","621","615","621","EAST 105 STREET","11236","BREUKELEN","56","64","3","BROOKLYN","105-12","FARRAGUT ROAD","11236","7E","7","8174","1","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ FT AT SOUTH WALL  IN THE  3rd ROOM  FROM NORTH AT WEST LOCATED AT APT 7E, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH","B","09/12/2025","09/15/2025","550","N","40.650186","-73.897621","318","42","3321415","3081740001","982","BK1803"
"18311210","804658","1","MANHATTAN","218","218","220","EAST 115 STREET","10029","JEFFERSON","64","28","1","MANHATTAN","218","EAST 115 STREET","10029","3A","3","01662","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN10 SQ FT AT THE CEILING AND NORTH WALL OF THE CLOSET AT NORTH WALL  IN THE  FOYER  LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST","A","10/20/2025","10/20/2025","550","N","40.796972","-73.939869","111","8","1080706","1016620001","180","MN1102"
"18259184","806350","2","BRONX","1815","1815","1815","BRUCKNER BOULEVARD","10472","SOTOMAYOR HOUSES","67","27","2","BRONX","1815","BRUCKNER BOULEVARD","10472","5D","5","03730","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 30 SQUARE FEET AT NORTH WALL  IN THE  2nd PRIVATE HALLWAY  FROM EAST AT CENTER LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ""SOUTH""","B","09/18/2025","09/25/2025","550","Y","40.825724","-73.864015","209","18","2092808","2037300001","44","BX0901"
"18235897","806350","2","BRONX","1815","1815","1815","BRUCKNER BOULEVARD","10472","SOTOMAYOR HOUSES","67","27","2","BRONX","1815","BRUCKNER BOULEVARD","10472","5D","5","03730","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION...  MORE THAN 10 SQ FT BUT LESS THAN 30 SQ. FT.  AT NORTHWALL   IN THE  2nd PRIVATE HALLWAY  FROM EAST AT CENTER LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ""SOUTH""","B","09/18/2025","09/18/2025","550","N","40.825724","-73.864015","209","18","2092808","2037300001","44","BX0901"
"18235898","806350","2","BRONX","1815","1815","1815","BRUCKNER BOULEVARD","10472","SOTOMAYOR HOUSES","67","27","2","BRONX","1815","BRUCKNER BOULEVARD","10472","5D","5","03730","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ.FT AT EAST WALL  IN THE  2nd ROOM  FROM EAST AT SOUTH LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ""SOUTH""","A","09/18/2025","09/18/2025","550","N","40.825724","-73.864015","209","18","2092808","2037300001","44","BX0901"
"18235876","120460","2","BRONX","1320","1318","1332","WEBSTER AVENUE","10456","BUTLER","113","1","2","BRONX","1330","WEBSTER AVENUE","10456","1D","1","02894","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ FT VISIBLE MOLD AT WEST WALL  IN THE  BATHROOM  LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST","B","09/18/2025","09/18/2025","550","N","40.834189","-73.90854","203","16","2092074","2028940001","14701","BX0302"
"18240392","6623","1","MANHATTAN","132","132","134","AVENUE D","10009","RIIS","18","13","1","MANHATTAN","132","AVENUE D","10009","4A","4","00362","0010","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS 10 SQ FT AT CEILING AND WEST WALL AROUND WINDOW   IN THE  BATHROOM  LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST","A","09/19/2025","09/19/2025","550","N","40.72437","-73.975518","103","2","1077504","1003620010","24","MN0303"
"18239084","807044","2","BRONX","1350","1350","1350","WASHINGTON AVENUE","10456","MORRIS I","102","7","2","BRONX","1350","WASHINGTON AVENUE","10456","11E","11","02910","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ FT AT WEST  WALL  IN THE  KITCHEN  LOCATED AT APT 11E, 11th STORY, 1st APARTMENT FROM EAST AT SOUTH","A","09/18/2025","09/18/2025","550","N","40.834096","-73.90532","203","16","2092083","2029100001","14701","BX0302"
"18246274","877812","1","MANHATTAN","350","350","354","MADISON STREET","10002","VLADECK","6","23","1","MANHATTAN","354","MADISON STREET","10002","5B","5","00260","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 20SQ FT AT CEILING   IN THE  PRIVATE HALLWAY  LOCATED AT APT 5B, 5th STORY, 1st APARTMENT FROM NORTH AT EAST","C","09/22/2025","09/24/2025","550","N","40.713324","-73.982769","103","1","1077529","1002600001","202","MN0302"
"18248608","219845","3","BROOKLYN","112","108","112","CHRISTOPHER AVENUE","11212","GLENMORE PLAZA","171","2","3","BROOKLYN","108","CHRISTOPHER AVENUE","11212","10D","10","03709","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ FT AT CEILING AND EAST WALL  IN THE  KITCHEN  LOCATED AT APT 10D, 10th STORY, 1st APARTMENT FROM EAST AT SOUTH","A","09/24/2025","09/24/2025","550","N","40.670864","-73.906165","316","37","3326948","3037090001","908","BK1602"
"18248689","804214","1","MANHATTAN","865","861","865","COLUMBUS AVENUE","10025","DOUGLASS I","82","7","1","MANHATTAN","865","COLUMBUS AVENUE","10025","13F","13","01836","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... MORE THAN 10 SQUARE FEET AT CEILING AND EAST WALL   IN THE  BATHROOM  LOCATED AT APT 13F, 13th STORY, 4th APARTMENT FROM EAST AT SOUTH","C","09/24/2025","09/24/2025","550","N","40.79693","-73.964551","107","7","1081300","1018360001","189","MN0703"
"18241119","215609","3","BROOKLYN","495","493","495","COLUMBIA STREET","11231","RED HOOK WEST","79","54","3","BROOKLYN","495","COLUMBIA STREET","11231","3E","3","00538","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ FT AT EAST WALL AND CEILING     IN THE  BATHROOM  LOCATED AT APT 3E, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH","B","09/20/2025","09/21/2025","550","N","40.675587","-74.007239","306","38","3332222","3005380001","85","BK0601"
